timestamp_utc,download_mbps,upload_mbps,ping_ms,server_name,server_country,isp,public_ip,local_hostname,machine,hour_utc,is_outlier_download,is_outlier_upload,is_outlier_ping,is_outlier_any
2026-02-11T21:27:44.453749+00:00,451.219,2.670,7.946,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,0,0
2026-02-11T21:28:14.254752+00:00,387.747,1.942,5.360,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,0,0
2026-02-11T21:28:38.044534+00:00,504.585,47.227,5.851,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,0,0
2026-02-11T21:29:08.488838+00:00,85.181,61.856,5.934,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,0,0
2026-02-11T21:29:29.537791+00:00,486.064,175.738,7.712,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,0,0
2026-02-11T21:29:56.746638+00:00,347.017,72.797,5.833,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,0,0
2026-02-11T21:35:20.120567+00:00,472.162,151.512,176.460,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,1,1
2026-02-11T21:36:46.375715+00:00,287.872,137.747,18.346,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,0,0
2026-02-11T21:43:47.662765+00:00,412.309,17.335,6.129,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,0,0
2026-02-11T21:44:16.014078+00:00,88.331,85.978,5.644,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,0,0
2026-02-11T21:44:36.119309+00:00,446.301,181.563,6.425,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,0,0
2026-02-11T21:45:03.011848+00:00,341.168,147.051,5.982,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,0,0
2026-02-11T21:45:39.164854+00:00,142.758,10.739,5.655,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,0,0
2026-02-11T21:50:00.975604+00:00,360.266,30.194,6.772,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,0,0
2026-02-11T21:50:35.421479+00:00,379.745,33.407,6.328,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,0,0
2026-02-11T21:51:59.759862+00:00,312.160,168.488,5.694,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,0,0
2026-02-11T21:52:32.430012+00:00,42.853,79.038,5.971,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,0,0
2026-02-11T21:52:59.806395+00:00,84.440,44.999,6.016,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,21,0,0,0,0
2026-02-11T22:00:02.132442+00:00,444.115,176.891,13.323,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,22,0,0,0,0
2026-02-11T22:04:19.485346+00:00,94.464,76.024,6.256,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,22,0,0,0,0
2026-02-11T22:05:40.997785+00:00,99.054,121.699,5.745,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,22,0,0,0,0
2026-02-12T00:06:24.785608+00:00,59.079,13.672,210.784,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,0,0,0,1,1
2026-02-12T00:07:29.803364+00:00,54.456,1.255,185.695,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,0,0,0,1,1
2026-02-12T00:08:27.686633+00:00,152.643,7.435,6.611,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,0,0,0,0,0
2026-02-12T00:09:18.432915+00:00,202.460,0.835,6.832,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,0,0,0,0,0
2026-02-12T00:10:00.654050+00:00,15.121,40.820,30.050,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,0,0,0,1,1
2026-02-12T00:17:07.258372+00:00,30.213,1.045,188.035,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,0,0,0,1,1
2026-02-12T00:17:55.380046+00:00,337.888,2.223,25.291,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,0,0,0,1,1
2026-02-12T00:18:38.459490+00:00,261.825,37.155,17.751,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,0,0,0,0,0
2026-02-12T00:50:46.906894+00:00,95.807,3.871,187.455,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,0,0,0,1,1
2026-02-12T00:51:47.849654+00:00,0.599,1.664,13.720,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,0,0,0,0,0
2026-02-12T01:05:25.771622+00:00,13.767,6.576,20.875,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,1,0,0,1,1
2026-02-12T01:07:21.983083+00:00,39.448,4.253,9.267,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,1,0,0,0,0
2026-02-12T01:09:31.419012+00:00,0.696,9.579,72.987,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,1,0,0,1,1
2026-02-12T01:18:27.953279+00:00,25.638,12.295,49.524,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,1,0,0,1,1
2026-02-12T01:19:17.123133+00:00,0.933,10.262,180.333,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,1,0,0,1,1
2026-02-12T01:34:05.094933+00:00,14.762,5.074,59.449,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,1,0,0,1,1
2026-02-12T01:35:30.064254+00:00,32.880,2.537,43.312,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,1,0,0,1,1
